scientific_name,validation_stratum,candidate_rank,selection_basis
Papaver rhoeas,temperate_annual_herb,1,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Viola arvensis,temperate_annual_herb,2,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Erodium cicutarium,temperate_annual_herb,3,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Geranium dissectum,temperate_annual_herb,4,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Veronica arvensis,temperate_annual_herb,5,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Cerastium glomeratum,temperate_annual_herb,6,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Tilia cordata,temperate_deciduous_tree,1,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Carpinus betulus,temperate_deciduous_tree,2,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Fraxinus excelsior,temperate_deciduous_tree,3,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Populus tremula,temperate_deciduous_tree,4,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Ulmus glabra,temperate_deciduous_tree,5,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Quercus petraea,temperate_deciduous_tree,6,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Taxus baccata,boreal_temperate_conifer,1,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Tsuga canadensis,boreal_temperate_conifer,2,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Pinus nigra,boreal_temperate_conifer,3,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Abies grandis,boreal_temperate_conifer,4,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Picea pungens,boreal_temperate_conifer,5,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Chamaecyparis lawsoniana,boreal_temperate_conifer,6,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Glyceria fluitans,wetland_grass,1,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Leersia oryzoides,wetland_grass,2,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Deschampsia cespitosa,wetland_grass,3,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Juncus effusus,wetland_grass,4,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Calamagrostis stricta,wetland_grass,5,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Poa palustris,wetland_grass,6,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Prunus spinosa,temperate_shrub,1,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Viburnum opulus,temperate_shrub,2,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Euonymus europaeus,temperate_shrub,3,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Cornus sanguinea,temperate_shrub,4,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Crataegus monogyna,temperate_shrub,5,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Ligustrum vulgare,temperate_shrub,6,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Osmunda regalis,fern,1,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Onoclea sensibilis,fern,2,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Polystichum setiferum,fern,3,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Asplenium adiantum-nigrum,fern,4,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Woodwardia fimbriata,fern,5,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Adiantum pedatum,fern,6,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Ambrosia dumosa,arid_shrub,1,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Atriplex confertifolia,arid_shrub,2,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Artemisia filifolia,arid_shrub,3,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Ephedra nevadensis,arid_shrub,4,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Gutierrezia sarothrae,arid_shrub,5,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Atriplex lentiformis,arid_shrub,6,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Sonneratia alba,tropical_mangrove,1,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Ceriops tagal,tropical_mangrove,2,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Ceriops decandra,tropical_mangrove,3,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Aegiceras corniculatum,tropical_mangrove,4,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Lumnitzera racemosa,tropical_mangrove,5,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Xylocarpus granatum,tropical_mangrove,6,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Eucalyptus viminalis,southern_temperate_tree,1,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Eucalyptus nitens,southern_temperate_tree,2,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Eucalyptus radiata,southern_temperate_tree,3,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Eucalyptus ovata,southern_temperate_tree,4,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Eucalyptus baxteri,southern_temperate_tree,5,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Acacia melanoxylon,southern_temperate_tree,6,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Pinus flexilis,montane_tree,1,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Pinus ponderosa,montane_tree,2,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Tsuga mertensiana,montane_tree,3,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Abies amabilis,montane_tree,4,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Abies magnifica,montane_tree,5,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Abies procera,montane_tree,6,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Abies sibirica,boreal_conifer,1,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Picea obovata,boreal_conifer,2,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Larix sibirica,boreal_conifer,3,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Pinus sibirica,boreal_conifer,4,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Larix decidua,boreal_conifer,5,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
Pinus strobus,boreal_conifer,6,pre-taxonomy ecological-stratum analog frozen before any successor GBIF taxonomy or occurrence query
